Modo,UF,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Taxi,SE,0.04157505497,5.08095287,4.781254676,0.6497679729,47.56922951,75.04671591,10.19877747,1164.667953,2114.366769,287.3404374,5003,208
Taxi,SP,0.03597841295,4.486752562,4.585481035,0.6698795816,127.3326949,382.7679718,55.91745922,1697.701426,2188.675514,319.7372373,5003,180
Taxi,TO,0.0149910054,2.606054139,2.335263037,0.5320690987,34.87334727,117.5653826,26.78623614,596.3148969,826.8703196,188.3951138,5003,75
Transporte Privado,AC,0.01712737127,4.887756487,3.765022424,0.2935331258,238.4003401,643.1274809,50.14026439,4189.47278,6603.58407,514.836422,36902,632.0342547
Transporte Privado,AL,0.01509485095,4.622108245,4.592826834,0.3814174559,135.8565332,355.8657678,29.55334932,3520.404342,4487.642099,372.6822487,36902,557.0301897
Transporte Privado,AM,0.02910569106,4.826324407,4.512152318,0.2698545236,186.9472552,575.1947776,34.40019346,3864.374904,4777.847258,285.7447188,36902,1074.058211
Transporte Privado,AP,0.01436314363,5.872795651,5.578858449,0.474958319,162.7204477,338.5798247,28.8251272,4623.65862,5302.259539,451.4099615,36902,530.0287263
Transporte Privado,BA,0.04655826558,5.169549168,4.691426734,0.2218408139,188.0764037,409.6172425,19.36933637,3898.261033,5428.812158,256.7091369,36902,1718.093117
Transporte Privado,CE,0.03953929539,4.757082108,4.222789479,0.2166805236,123.0223517,262.6941118,13.47940691,2961.494307,3555.015741,182.4155989,36902,1459.079079
Transporte Privado,DF,0.02910569106,5.207427062,4.734545188,0.2831549881,294.4310035,667.2177113,39.90373217,7232.526536,8319.095644,497.5332021,36902,1074.058211
Transporte Privado,ES,0.04037940379,4.57140115,3.773727995,0.191613256,270.3180764,536.6438447,27.2484065,4716.468365,4783.63596,242.8919263,36902,1490.080759
Transporte Privado,GO,0.05159891599,5.478922269,4.010909103,0.1801596126,183.8550772,419.7842442,18.85561723,4576.783839,4787.809147,215.0559434,36902,1904.103198
Transporte Privado,MA,0.03344173442,4.979994643,5.079218903,0.2833919058,120.4934007,253.4875772,14.14318401,2542.488008,3946.83708,220.211356,36902,1234.066883
Transporte Privado,MG,0.07861788618,5.112963979,4.536579408,0.1650831488,232.2564021,458.5876959,16.68770544,4754.212336,5108.553853,185.8969237,36902,2901.157236
Transporte Privado,MS,0.03750677507,5.210894087,4.437878846,0.2338059118,214.5926013,456.2286815,24.03602409,4952.184864,5888.736581,310.2431304,36902,1384.075014
Transporte Privado,MT,0.04116531165,4.602192044,3.618130395,0.1819505694,262.8266323,738.7373139,37.15003612,4746.239144,5869.870237,295.1873247,36902,1519.082331
Transporte Privado,PA,0.04013550136,4.992031831,4.787089486,0.2438047193,119.3678457,270.0852966,13.75534553,2878.514403,5744.579469,292.5693345,36902,1481.080271
Transporte Privado,PB,0.02742547425,4.174739732,3.475361917,0.2141203147,163.9890162,327.7175036,20.19098346,3104.631614,4170.157905,256.9273486,36902,1012.054851
Transporte Privado,PE,0.04382113821,5.3894396,4.685915659,0.2283955032,184.1704587,508.6764987,24.79332394,3920.220457,4777.160289,232.8428438,36902,1617.087642
Transporte Privado,PI,0.03753387534,5.78492231,4.446970153,0.234200285,94.46135611,216.7500914,11.4151729,2932.42646,4212.445842,221.8490304,36902,1385.075068
Transporte Privado,PR,0.05907859079,4.616164489,3.876023517,0.1627070039,275.0975651,671.5817947,28.19153733,5195.35958,5819.234908,244.278775,36902,2180.118157
Transporte Privado,RJ,0.03485094851,5.113658086,4.680692597,0.255821904,230.4866973,414.9097614,22.67677335,5277.010957,4743.190277,259.2376967,36902,1286.069702
Transporte Privado,RN,0.02742547425,5.546407053,4.411530881,0.2717985646,145.8417419,279.1359425,17.19782781,3622.357376,4767.493684,293.7297675,36902,1012.054851
Transporte Privado,RO,0.01731707317,4.100495212,3.697384233,0.2866766014,199.035981,456.9913026,35.43281013,3505.090174,4006.090484,310.6121335,36902,639.0346341
Transporte Privado,RR,0.01379403794,4.147743236,3.738671834,0.3247929145,212.6252839,364.9617451,31.7056415,4264.510833,4418.44287,383.8472594,36902,509.0275881
Transporte Privado,RS,0.05598915989,4.647081428,3.711227041,0.1600296505,261.3294586,524.9878081,22.6376922,5483.726876,5516.406477,237.8697371,36902,2066.111978
Transporte Privado,SC,0.05295392954,4.532010407,3.123173356,0.1384783572,255.4878304,576.5354536,25.56300063,5257.851721,5342.499409,236.8810364,36902,1954.105908
Transporte Privado,SE,0.01880758808,5.351742644,4.467780906,0.3323993944,146.9228225,304.7093475,22.67013641,3689.453091,4230.110887,314.7169314,36902,694.0376152
Transporte Privado,SP,0.08062330623,5.244926934,4.424004023,0.1589718102,236.8298393,434.4528214,15.61159328,5138.013118,4821.994226,173.2731587,36902,2975.161247
Transporte Privado,TO,0.01669376694,3.873092235,2.461832619,0.1944089511,145.0125615,215.6677429,17.031109,3249.461152,3704.600484,292.5493345,36902,616.0333875
Transporte Publico,AC,0.01290526899,8.005732092,8.545038832,0.9275841776,49.77720484,121.7964913,13.22129723,945.5306095,928.6474934,100.806882,25262,326.0129053
Transporte Publico,AL,0.02945251574,6.902290074,8.047696671,0.5782734091,29.09000939,56.53293835,4.062217591,914.8659179,1128.136355,81.06310197,25262,744.0294525
Transporte Publico,AM,0.02984838288,10.43935979,9.075865393,0.6478142016,21.51291298,55.74540451,3.978977558,1212.249948,1321.718247,94.34118,25262,754.0298484
Transporte Publico,AP,0.01824947548,9.34872197,7.327602512,0.6688974365,27.69560179,84.41599341,7.705882176,1055.383268,1334.334775,121.8042476,25262,461.0182495
Transporte Publico,BA,0.07628359922,8.502168334,8.790107787,0.3924654538,43.43822557,98.06089585,4.378275548,1079.366716,1237.531145,55.25395525,25262,1927.076284
Transporte Publico,CE,0.05201694311,9.915348923,11.5929511,0.6268222626,33.52387863,119.2735037,6.449029829,994.0609329,1282.870979,69.3638818,25262,1314.052017
Transporte Publico,DF,0.03337160049,12.89773901,10.107689,0.6823169733,45.0299251,127.8516805,8.630595149,1841.253212,1535.061636,103.623945,25262,843.0333716
Transporte Publico,ES,0.05015636752,10.58737945,9.461173748,0.5209605076,35.08372108,88.15725076,4.854201743,1099.818503,1084.090028,59.69323744,25262,1267.050156
Transporte Publico,GO,0.02327698824,9.065361298,8.28043129,0.6692869948,50.5538862,119.4523479,9.655040919,1251.849128,1761.715711,142.3951691,25262,588.023277
Transporte Publico,MA,0.0368948181,6.585103521,7.879816277,0.505890154,54.8842097,108.3956228,6.959080818,1157.171761,1709.028019,109.7208891,25262,932.0368948
Transporte Publico,MG,0.0805193777,10.07058633,9.502489552,0.4129619309,46.70815433,105.0610608,4.565773871,1353.129609,1568.258724,68.1538398,25262,2034.080519
Transporte Publico,MS,0.01630972646,6.467027618,7.562654537,0.7302536655,87.07433759,167.6605652,16.18938717,1042.991601,1399.697408,135.1554746,25262,412.0163097
Transporte Publico,MT,0.01662642017,6.202918298,7.947901955,0.7601091267,118.8392071,205.7405588,19.67629663,1395.258091,2147.067163,205.3378811,25262,420.0166264
Transporte Publico,PA,0.03119433118,6.421690382,6.278011402,0.438335942,59.67738079,103.7347211,7.24284392,1119.505685,1266.448351,88.42447005,25262,788.0311943
Transporte Publico,PB,0.02739400657,6.008292711,6.155594119,0.4586327042,40.00228268,110.4397169,8.228493473,1127.798193,1500.834305,111.8221382,25262,692.027394
Transporte Publico,PE,0.07323542219,8.493457412,8.306104866,0.3784945558,22.70959697,48.91551513,2.22899379,937.3968235,950.8518249,43.32864139,25262,1850.073235
Transporte Publico,PI,0.03602391038,8.108172123,8.312879511,0.5401058497,48.55888279,108.8823144,7.07432062,1034.751951,1076.040108,69.91266459,25262,910.0360239
Transporte Publico,PR,0.03119433118,9.169409195,8.534200635,0.595864938,60.88489274,115.9077154,8.092772431,1323.621584,1422.918233,99.34932646,25262,788.0311943
Transporte Publico,RJ,0.09583943629,11.92317372,10.39991542,0.4142671571,25.80173798,103.6829871,4.130077462,1549.955571,1597.869461,63.64905985,25262,2421.095839
Transporte Publico,RN,0.02470210997,8.522024744,8.558081354,0.6714786477,30.57714209,62.29826722,4.888006377,1123.553804,1301.937399,102.1517707,25262,624.0247021
Transporte Publico,RO,0.007125608646,3.313040877,5.845238067,0.8539138208,183.1310729,373.2257505,54.52346389,1216.139727,1824.379472,266.5182886,25262,180.0071256
Transporte Publico,RR,0.00463164562,4.750377243,6.523994018,1.182139461,157.8572097,215.7197455,39.08814492,1370.525537,2233.834916,404.7680601,25262,117.0046316
Transporte Publico,RS,0.05055223467,10.84997287,11.15797246,0.6119809844,40.73026256,93.62916798,5.135276198,1255.721431,1293.836485,70.96301128,25262,1277.050552
Transporte Publico,SC,0.02109971893,8.518307584,8.378878908,0.7113288135,53.27716781,119.8182208,10.17202346,1297.203775,1707.621043,144.969281,25262,533.0210997
Transporte Publico,SE,0.03729068525,9.333934589,9.161034316,0.5850151996,32.08330471,68.87922981,4.39856407,1138.897995,1379.037305,88.06405003,25262,942.0372907
Transporte Publico,SP,0.07402715649,14.61648718,14.26060219,0.6463461306,38.16142726,105.5395075,4.783462253,1776.558737,2149.125598,97.40675715,25262,1870.074027
Transporte Publico,TO,0.009817505245,3.34932285,5.296467853,0.6591869358,125.6989693,241.3304744,30.03546898,1409.857932,2201.25555,273.9635057,25262,248.0098175
