Modo,decil_renda,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,6,Vitoria,0.004029550034,4.333333333,0,0,38.05548139,32.41039442,28.40844128,1978.885032,1685.34051,1477.238947,1489,6
Aplicativo,7,Belo Horizonte,0.007387508395,4.819713213,3.553913762,2.202698097,33.45496851,37.98579475,23.5434069,1728.710618,2469.215483,1530.407492,1489,11
Aplicativo,7,Brasil Urbano,0.02887844191,6.565170026,7.085695978,2.142920012,46.10453604,60.45596415,18.28363732,1814.45729,1667.1151,504.1839672,1489,43
Aplicativo,7,Brasilia,0.00604432505,9.372453133,8.990907616,5.87395171,56.89851812,71.21975369,46.52938411,2288.338619,1884.534503,1231.206585,1489,9
Aplicativo,7,Campo Grande,0.004701141706,4.039539284,2.866519007,2.123507979,44.62764837,30.98985135,22.95718132,1489.386457,1513.07705,1120.882569,1489,7
Aplicativo,7,Florianopolis,0.001343183345,24.1049364,3.064129385,4.246588637,12.4083927,3.9103005,5.419300422,3518.481878,649.3502993,899.9370639,1489,2
Aplicativo,7,Fortaleza,0.002686366689,9.112390189,6.940887978,6.801945234,18.18934241,13.49001359,13.2199704,1786.525975,2118.297527,2075.893433,1489,4
Aplicativo,7,Goiania,0.004701141706,6.765990891,3.409448434,2.525708337,26.5614717,28.05977321,20.78658894,1721.182052,1385.32804,1026.246517,1489,7
Aplicativo,7,Maceio,0.001343183345,6.559001771,3.064129385,4.246588637,19.73004604,7.792316729,10.79940156,1696.066647,1327.748545,1840.131788,1489,2
Aplicativo,7,Manaus,0.007387508395,5.741490369,4.214692915,2.612245733,23.69191483,23.18548633,14.37024926,1128.274889,800.1177822,495.9090271,1489,11
Aplicativo,7,Porto Alegre,0.008059100067,8.522912874,5.630230453,3.185544232,19.81915712,12.32649704,6.974244108,1605.010659,701.7925873,397.0692403,1489,12
Aplicativo,7,Recife,0.007387508395,3.081926905,2.668559934,1.653960192,23.92568515,20.91166629,12.96094689,643.985905,1640.323972,1016.66465,1489,11
Aplicativo,7,Rio de Janeiro,0.007387508395,11.18576756,9.32835365,5.781667256,27.63315955,15.35433004,9.51653749,3912.019762,4068.029258,2521.344327,1489,11
