Modo,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Transporte Privado,Sao Luis,0.004932249322,6.038212281,6.895560581,1.001802188,207.0282393,379.8294184,55.18245221,4412.145485,5722.783479,831.4185542,36902,182.0098645
Transporte Privado,Sao Paulo,0.0260704607,5.804611208,5.195678952,0.3283241759,239.3068446,350.0493566,22.12024022,5685.557139,5384.44833,340.252848,36902,962.0521409
Transporte Privado,Vitoria,0.01634146341,5.023471737,4.140385889,0.3304686415,268.10353,478.339096,38.17906723,5262.884577,4822.630096,384.9225794,36902,603.0326829
Transporte Privado,Zona Rural,0.2764498645,4.557999756,3.870921144,0.07511748549,173.1232364,480.0127447,9.314927649,3299.200076,4991.403881,96.86110739,36902,10201.5529
Transporte Publico,Belem,0.006175527493,9.285320203,8.305499422,1.303321455,35.75439682,66.11589581,10.37508537,1208.726853,1527.121954,239.6401114,25262,156.0061755
Transporte Publico,Belo Horizonte,0.02806698072,12.82279324,10.12331503,0.7451568972,37.03773684,88.4481326,6.510489486,1734.968624,1749.698784,128.7918151,25262,709.028067
Transporte Publico,Brasil Urbano,0.4086140691,8.118464993,8.601614217,0.1659381044,54.27951468,121.0219753,2.334696332,1173.500611,1447.020125,27.91519947,25262,10322.40861
Transporte Publico,Brasilia,0.03095681089,13.04330833,10.19421826,0.7144940931,45.96974436,129.3225327,9.063979532,1859.959482,1555.887863,109.0493316,25262,782.0309568
Transporte Publico,Campo Grande,0.00783816951,8.137753027,8.062127372,1.122962235,62.1024306,145.4088283,20.25378853,1001.047325,917.8382171,127.8443776,25262,198.0078382
Transporte Publico,Cuiaba,0.005027512767,11.97954161,10.7751457,1.873999118,29.99581024,59.1369122,10.28501372,1393.505712,1426.680694,248.1264233,25262,127.0050275
Transporte Publico,Curitiba,0.00985709196,11.20298351,9.352089087,1.161601203,58.32382118,114.842622,14.26433459,1594.845482,1309.517957,162.6521753,25262,249.0098571
Transporte Publico,Florianopolis,0.004671232334,12.09787685,9.164916492,1.653619557,24.75006056,87.66696928,15.81769076,1332.449202,1076.366843,194.2081266,25262,118.0046712
Transporte Publico,Fortaleza,0.03111515775,12.61269451,12.79357915,0.8943940031,25.40626506,75.25141712,5.260796484,1080.829639,1376.685031,96.24350007,25262,786.0311152
Transporte Publico,Goiania,0.00657139464,10.2890707,8.353344599,1.2707334,37.00353139,91.5376331,13.92495262,1222.398704,1214.970737,184.8246384,25262,166.0065714
Transporte Publico,Maceio,0.01967459721,8.997312029,8.432131231,0.7413226234,22.49747866,43.48621884,3.823151817,1048.318787,982.0045396,86.33430405,25262,497.0196746
Transporte Publico,Manaus,0.02462293654,11.77518048,9.250849229,0.7270001523,18.29560883,47.30893709,3.717886177,1289.162429,1354.423564,106.440621,25262,622.0246229
Transporte Publico,Porto Alegre,0.02244566723,14.48929226,12.46594953,1.026081663,33.37910982,90.61123956,7.458279138,1358.357701,1212.658104,99.81479874,25262,567.0224457
Transporte Publico,Recife,0.04022010213,10.65066714,9.180713039,0.5645178129,18.27461506,29.95162133,1.84171139,1069.543168,952.838115,58.58957648,25262,1016.04022
Transporte Publico,Rio de Janeiro,0.07196864732,12.32385129,10.96008856,0.5038081806,26.1685043,114.7670295,5.275556672,1635.855035,1663.045023,76.44606913,25262,1818.071969
Transporte Publico,Salvador,0.02565219112,12.98336933,10.18197364,0.7839575677,20.05423429,47.41904226,3.651012892,1273.74671,1220.864432,94.00003814,25262,648.0256522
Transporte Publico,Sao Luis,0.01199477455,11.44248985,9.565542607,1.077051296,29.62786974,73.0502695,8.225240393,1147.803377,1824.745035,205.4607967,25262,303.0119948
Transporte Publico,Sao Paulo,0.04204109101,17.58007076,15.50041347,0.9322429677,29.35447886,98.83533305,5.944263641,1991.363119,2152.508868,129.4585631,25262,1062.042041
Transporte Publico,Vitoria,0.02743359329,11.5097046,9.81102037,0.7304586755,31.25682745,81.98950269,6.104354215,1129.866607,899.4389107,66.965813,25262,693.0274336
Transporte Publico,Zona Rural,0.1750920391,5.033619171,5.989885739,0.1765257884,48.81237526,133.2310762,3.926405576,972.8456316,1512.909568,44.58641882,25262,4423.175092
