"","Modo","decil_renda","RM","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"216","Táxi","4","Zona Rural",0.0237857285628623,4.12853762899512,3.56404053130233,45.1806877253608,106.738616374714,1152.33197643631,1323.15714267141
"217","Táxi","5","Belém",0.000599640215870478,4.50838114989871,0.192450089729876,23.4722072405252,13.4288247189891,720.618212396601,713.582510996451
"218","Táxi","5","Brasil Urbano",0.050569658205077,5.01823898444077,5.1112884144513,38.569020186028,87.9861346990371,949.19879345615,1402.48591649379
"219","Táxi","5","Campo Grande",0.000599640215870478,11.9926678789601,6.6192760038251,22.416537875669,10.7151675122144,3857.19399419113,2895.23746867161
"220","Táxi","5","Curitiba",0.000399760143913652,0.333333333333333,0,84.460738365992,10.6066017177982,337.842953463968,42.4264068711929
"221","Táxi","5","Fortaleza",0.000799520287827304,4.33333333333333,0,29.3134665744342,28.1942665566364,1524.30026187058,1466.10186094509
"222","Táxi","5","Maceió",0.000399760143913652,6.50801646176139,3.06412938514171,39.9630009457167,14.142135623731,2860.96197541137,367.695526217005
"223","Táxi","5","Manaus",0.00259844093543874,7.0298621137382,9.82046818851298,24.2214465152079,18.5275262992454,1508.0855111905,1489.63488901277
"224","Táxi","5","Porto Alegre",0.000399760143913652,6.79575172334815,3.06412938514171,36.4176084956273,29.3449314192417,2440.37252435591,845.699710299111
"225","Táxi","5","Recife",0.00159904057565461,9.12206106068165,8.71404176083199,28.7597157996765,67.7626477387906,667.923492370527,501.603144214342
"226","Táxi","5","Rio de Janeiro",0.00219868079152508,4.7413798996465,1.30654915983698,21.7456220393945,15.8114164163401,1252.06010741944,916.336442556097
"227","Táxi","5","Salvador",0.000999400359784129,8.06003839551666,9.10860399109911,72.193153634018,78.6045319875361,1293.21004274878,1101.94954512446
"228","Táxi","5","São Luís",0.000999400359784129,7.02543020476191,7.75170232199927,17.8150448718134,18.6091375404665,1249.43395790573,1179.26553413555
"229","Táxi","5","São Paulo",0.000799520287827304,3.65978137749009,2,27.5870082037334,17.8582380616529,1353.69819189295,1044.27518723116
"230","Táxi","5","Zona Rural",0.0189886068358985,3.65074637676764,4.2877349378315,47.8068942060076,88.0906016176567,1010.12624799668,1347.25071141692
"231","Táxi","6","Belém",0.000999400359784129,4.64986917819718,3.46730763305222,30.5327846154501,45.9755369734819,820.258558568094,460.434577328854
"232","Táxi","6","Brasil Urbano",0.0523685788526884,4.02829983618865,4.65246299131105,47.5316275407938,71.1468292496562,926.286656309018,1394.04106099787
"233","Táxi","6","Cuiabá",0.000599640215870478,4.39582779491984,4.16777762966912,41.5225459570292,36.2123326138117,941.193057000622,627.895296154808
"234","Táxi","6","Fortaleza",0.000399760143913652,10.546743055491,9.19238815542512,12.2645448718545,8.48528137423857,1085.12183333178,220.617315730203
"235","Táxi","6","Goiânia",0.000599640215870478,3.73395342245684,4.81125224324688,22.52287373617,5.57652520242968,876.4508843536,1097.1283738925
"236","Táxi","6","Maceió",0.00119928043174096,3.94461567236218,3.11567126112615,47.6759106229725,77.8168790601799,1893.01093901205,4033.42170702081
"237","Táxi","6","Manaus",0.00259844093543874,3.89886425357063,2.0419391933933,61.6308690500879,135.882767157048,532.306967425645,481.582102061155
"238","Táxi","6","Porto Alegre",0.00159904057565461,7.62436608308009,9.9433913603977,21.0599647847523,11.082281546943,1344.33551686845,1538.72300951146
"239","Táxi","6","Recife",0.00119928043174096,17.2978165383189,12.5886486198509,8.57002733229695,3.97627316708997,1536.67029826491,1295.8158305356
"240","Táxi","6","Rio de Janeiro",0.000799520287827304,3.38751886848421,2,40.5829897081208,53.2551602351046,732.679947901646,247.259199761438
"241","Táxi","6","Salvador",0.00159904057565461,9.34412738110087,7.94225188969508,31.9442337788802,30.4414282771941,1951.35196672044,1268.25943718153
"242","Táxi","6","São Luís",0.000999400359784129,8.94366271084487,7.23264205606161,8.19267161621074,2.86356421265527,791.423218319457,919.74083306114
"243","Táxi","6","São Paulo",0.00119928043174096,3.72112319226575,1.63299316185545,26.4115474649959,16.3299316185545,1006.07438353924,718.516991216399
"244","Táxi","6","Vitória",0.000799520287827304,4.33333333333333,0,13.9001831681031,7.30688887283774,722.80952474136,379.958221387563
"245","Táxi","6","Zona Rural",0.0225864481311213,2.91462162294618,3.16881456199832,52.8125177756743,80.1344996117104,840.976300212518,1074.53603853935
"246","Táxi","7","Belém",0.000999400359784129,3.7528153683349,1.83181755520454,17.9201599915127,11.5238882327103,562.413866737689,592.618595725784
"247","Táxi","7","Belo Horizonte",0.000799520287827304,2.44111080504024,2.3094010767585,43.8747726991656,36.8182472876335,816.510301431646,858.683488448062
"248","Táxi","7","Brasil Urbano",0.0399760143913652,4.36902844210404,4.99216555393778,57.1272490456488,90.6138127535234,1129.87391643501,1990.77032718312
"249","Táxi","7","Brasília",0.000799520287827304,0.333333333333333,0,240.863470878858,219.1956689049,963.453883515433,876.782675619601
"250","Táxi","7","Curitiba",0.000399760143913652,1.64988751739937,2.82842712474619,23.4172290796698,14.142135623731,251.655418406603,282.842712474619
"251","Táxi","7","Fortaleza",0.00199880071956826,4.49018357244289,4.66190232987922,25.4157251614684,26.2810134254116,1213.72250041726,1770.29238012005
"252","Táxi","7","Maceió",0.00139916050369778,5.04140896969904,1.63784604970665,9.88658159318557,4.32703296563757,539.592965754815,188.835907602341
"253","Táxi","7","Manaus",0.00279832100739556,6.49331740346955,5.0512030264732,31.0962393689066,72.7143005570053,860.536394488569,874.482251844604
"254","Táxi","7","Porto Alegre",0.000399760143913652,4.47420304414866,0.235702260395516,33.3782488577359,19.4454364826301,1714.53848397997,1046.51803615609
"255","Táxi","7","Recife",0.00259844093543874,7.19739422336246,7.50574329005345,33.9750682325208,60.6164909439583,1396.37696652144,1838.56175673632
"256","Táxi","7","Rio de Janeiro",0.00379772136717969,4.60016868814735,2.30559959092732,33.1265058979513,15.1695504789185,1698.24477053535,820.337900067844
"257","Táxi","7","Salvador",0.00179892064761143,8.38927465578676,7.0494286608522,27.4357411521513,30.0595185054215,2575.98995193412,3259.63990308405
"258","Táxi","7","São Paulo",0.00219868079152508,3.31797475312207,3.61869444619872,79.2953561235284,69.1347461940313,1114.82198982455,1425.04343793444
"259","Táxi","7","Vitória",0.00119928043174096,4.38984252538472,0.136082763487955,49.2425466821775,16.4924225024706,2363.28232882978,1202.30112700604
"260","Táxi","7","Zona Rural",0.0191884869078553,2.55598676273753,2.71453518434677,79.4402043796902,134.70647935903,1117.74838411602,1634.42324241402
"261","Táxi","8","Belém",0.00119928043174096,8.73275690306719,9.36106989770024,14.3328524885784,11.5888281331634,1168.3703090508,773.947405620477
"262","Táxi","8","Belo Horizonte",0.000599640215870478,2.68490792675279,4.81125224324688,62.4009998630177,34.9904748943671,1209.04643356721,1869.93475822019
"263","Táxi","8","Brasil Urbano",0.0383769738157106,4.66491962583401,4.96524393643097,49.1045528441356,107.328755588541,1021.99178643864,1255.51334360684
"264","Táxi","8","Brasília",0.000599640215870478,0.333333333333333,0,62.7556350126872,82.2393685124912,251.022540050749,328.957474049965
"265","Táxi","8","Campo Grande",0.000599640215870478,4.33333333333333,0,9.8964548074984,4.35889894354067,514.615649989917,226.662745064115
"266","Táxi","8","Cuiabá",0.000799520287827304,1.14670289664701,1.95078331845327,27.8577456414054,12.7532893632715,199.376290821042,111.326534123721
"267","Táxi","8","Fortaleza",0.00139916050369778,5.2080599518073,2.11445015805516,36.7525355863096,30.750919459734,2194.54327487367,1647.24000043941
"268","Táxi","8","Goiânia",0.000799520287827304,3.18349350988503,2.3094010767585,46.5757263830311,131.212062834685,647.285103820789,569.776352381646
"269","Táxi","8","Maceió",0.000999400359784129,5.16957698042532,5.71547606649408,156.75152346975,124.554762610223,2168.20762475771,2273.48191107825
"270","Táxi","8","Manaus",0.00179892064761143,7.9249706072514,7.18602037910337,11.2252387395397,7.24185366080014,826.429190951519,511.480204895556
"271","Táxi","8","Porto Alegre",0.00139916050369778,3.41491015944031,2.85356919363403,80.8914965613755,139.053186552758,1364.88987132065,1108.76986748722
"272","Táxi","8","Recife",0.00179892064761143,7.87256069712623,7.4661788861836,29.3029218383153,29.0817812384317,2307.54778623944,2197.31027495992
"273","Táxi","8","Rio de Janeiro",0.00499700179892065,4.3650560592766,2.33309522594628,57.0499178410802,63.1261183775517,2310.45197065946,2071.63980850211
"274","Táxi","8","Salvador",0.00239856086348191,3.97145820491122,2.77373443097977,47.7688573601516,53.431879394291,1832.47338035857,1505.17582220332
"275","Táxi","8","São Luís",0.000999400359784129,5.04686672801093,1.90613046073277,17.9766429046648,12.1788751533136,1100.81161121005,910.012747163467
"276","Táxi","8","São Paulo",0.00279832100739556,2.40673050230247,2.66173995440193,86.8923925423854,139.728057114722,837.398906748253,778.840346742698
"277","Táxi","8","Zona Rural",0.0225864481311213,3.68141556833313,3.62787635761376,68.2348392593944,74.1352680612525,1245.76992332251,2047.84436935528
"278","Táxi","9","Belém",0.000799520287827304,3.67064676865135,2,7.79149484039783,3.55902608401044,309.730866386481,193.190752021588
"279","Táxi","9","Belo Horizonte",0.00219868079152508,2.58031440633287,2.83556062188838,107.00301469052,141.964414377318,1141.2158735465,1372.79309173935
"280","Táxi","9","Brasil Urbano",0.0431740955426744,4.98932654168734,6.08750884195265,54.9883184685687,112.916297490635,1162.05051514678,1439.49006848561
"281","Táxi","9","Brasília",0.00139916050369778,1.93525267880912,3.25868802112869,173.937468630711,154.214489333,1179.41952235051,827.768763662436
"282","Táxi","9","Curitiba",0.000599640215870478,3.80096807899459,4.16777762966912,35.1142443020874,28.1617352685046,867.01933254527,1099.06687694608
"283","Táxi","9","Fortaleza",0.00139916050369778,3.59940120773018,2.85356919363403,47.2079610712524,69.0018762684858,742.115382255679,451.636811524271
"284","Táxi","9","Goiânia",0.000399760143913652,7.53934458486812,12.0208152801713,68.7331689349987,77.1807051665117,780.794665597737,535.138412001979
"285","Táxi","9","Maceió",0.00119928043174096,6.10333464919113,7.57383409925006,40.6345436983332,32.9241805769964,1226.34253484076,862.285722174887
"286","Táxi","9","Manaus",0.00259844093543874,5.9993805988668,5.07381412189979,220.920927407159,824.671031925722,2560.77907232726,3922.99846075383
"287","Táxi","9","Porto Alegre",0.00179892064761143,3.87870312416179,3.5307292989857,83.3444020213438,88.1249813939215,1708.11484231571,1559.51160445969
"288","Táxi","9","Recife",0.00259844093543874,4.55036420628366,5.47748564606508,32.2940444938159,29.2990767335064,1348.64944688843,1594.8225847796
"289","Táxi","9","Rio de Janeiro",0.00599640215870478,6.60095684377392,4.65246882373337,36.9711228688172,28.2615608673423,2466.90832417016,2144.14943144587
"290","Táxi","9","Salvador",0.00119928043174096,5.7487824709894,8.82525836365062,114.412665301238,175.234699760065,1860.07366228271,1327.4225652243
"291","Táxi","9","São Luís",0.00119928043174096,8.01385319416017,9.2038639228919,39.5523423195436,23.7521928812198,2292.45753982033,1348.73867001729
