ESTRATO_POF,pos_estrato,tot_pop,uf,COD_UPA
1105,113,1223886,11,110020167
1105,113,1223886,11,110020185
1106,113,1223886,11,110020900
1109,113,1223886,11,110021010
1104,113,1223886,11,110021335
1110,113,1223886,11,110021533
1107,113,1223886,11,110021920
1105,113,1223886,11,110022774
1201,121,398456,12,120000100
1201,121,398456,12,120000257
1201,121,398456,12,120000320
1201,121,398456,12,120000468
1201,121,398456,12,120000623
1203,121,398456,12,120000706
1201,121,398456,12,120000724
1201,121,398456,12,120000742
1201,121,398456,12,120000908
1201,121,398456,12,120001063
1201,121,398456,12,120001153
1201,121,398456,12,120001299
1201,121,398456,12,120001351
1201,121,398456,12,120001398
1201,121,398456,12,120001504
1201,121,398456,12,120001767
1201,121,398456,12,120001820
1201,121,398456,12,120001956
1201,121,398456,12,120002202
1201,121,398456,12,120002267
1201,121,398456,12,120002300
1201,121,398456,12,120002328
1201,121,398456,12,120002587
1201,121,398456,12,120002610
1201,121,398456,12,120002921
1201,121,398456,12,120002940
1201,121,398456,12,120002995
1201,121,398456,12,120003253
1201,121,398456,12,120003490
1201,121,398456,12,120004173
1201,121,398456,12,120004268
1201,121,398456,12,120004277
1201,121,398456,12,120004399
1203,121,398456,12,120004531
1201,121,398456,12,120004671
1201,121,398456,12,120004680
1201,121,398456,12,120004690
1201,121,398456,12,120004784
1201,121,398456,12,120004850
1201,121,398456,12,120004860
1201,121,398456,12,120004879
1201,121,398456,12,120005272
1201,121,398456,12,120005365
1201,121,398456,12,120005606
1201,121,398456,12,120005651
1201,121,398456,12,120005660
1201,121,398456,12,120005837
1201,121,398456,12,120006140
1201,121,398456,12,120006613
1201,121,398456,12,120006987
1201,121,398456,12,120007531
1201,121,398456,12,120007765
1203,121,398456,12,120008320
1201,121,398456,12,120008384
1202,123,449137,12,120000055
1202,123,449137,12,120000293
1202,123,449137,12,120001081
1202,123,449137,12,120001108
1202,123,449137,12,120001234
1202,123,449137,12,120001261
1202,123,449137,12,120001370
1202,123,449137,12,120001441
1202,123,449137,12,120001677
1202,123,449137,12,120001711
1204,123,449137,12,120002090
1202,123,449137,12,120002337
1202,123,449137,12,120002504
1202,123,449137,12,120002513
1202,123,449137,12,120002639
1202,123,449137,12,120002842
1202,123,449137,12,120002851
1202,123,449137,12,120003235
1202,123,449137,12,120004626
1202,123,449137,12,120004720
1202,123,449137,12,120004748
1202,123,449137,12,120004805
1202,123,449137,12,120005005
1204,123,449137,12,120005116
1204,123,449137,12,120005467
1202,123,449137,12,120005975
1202,123,449137,12,120005984
1202,123,449137,12,120006313
1204,123,449137,12,120006396
1204,123,449137,12,120006740
1202,123,449137,12,120007442
1202,123,449137,12,120007498
1202,123,449137,12,120007729
1204,123,449137,12,120008232
1202,123,449137,12,120008357
1202,123,449137,12,120009142
1202,123,449137,12,120009721
1202,123,449137,12,120010070
1202,123,449137,12,120010236
1202,123,449137,12,120010355
1302,131,2128341,13,130000067
1305,131,2128341,13,130000644
1304,131,2128341,13,130001039
1301,131,2128341,13,130001471
1302,131,2128341,13,130001599
1302,131,2128341,13,130001797
1302,131,2128341,13,130001887
1306,131,2128341,13,130002446
1305,131,2128341,13,130002881
1302,131,2128341,13,130003936
1301,131,2128341,13,130005137
1303,131,2128341,13,130005913
1302,131,2128341,13,130005922
1302,131,2128341,13,130006299
1302,131,2128341,13,130006416
1305,131,2128341,13,130007463
1305,131,2128341,13,130007525
1302,131,2128341,13,130007973
1305,131,2128341,13,130008889
1305,131,2128341,13,130009050
1305,131,2128341,13,130011072
1305,131,2128341,13,130011730
1305,131,2128341,13,130012258
1304,131,2128341,13,130012709
1304,131,2128341,13,130014370
1305,131,2128341,13,130014465
1305,131,2128341,13,130015041
1305,131,2128341,13,130015300
1306,131,2128341,13,130015449
1302,131,2128341,13,130015744
1306,131,2128341,13,130015855
1305,131,2128341,13,130016404
1302,131,2128341,13,130016740
1304,131,2128341,13,130017264
1304,131,2128341,13,130017291
1301,131,2128341,13,130018020
1305,131,2128341,13,130019332
1303,131,2128341,13,130019341
1305,131,2128341,13,130021006
1304,131,2128341,13,130021015
1305,131,2128341,13,130023013
1305,131,2128341,13,130023223
1304,131,2128341,13,130023297
1302,131,2128341,13,130023424
1302,131,2128341,13,130023643
1302,131,2128341,13,130024229
1305,131,2128341,13,130025880
1303,131,2128341,13,130026320
1304,131,2128341,13,130026748
1305,131,2128341,13,130026875
1301,131,2128341,13,130027092
1302,131,2128341,13,130027323
1303,131,2128341,13,130027593
1311,131,2128341,13,130027851
1304,131,2128341,13,130028671
1303,131,2128341,13,130029027
1305,131,2128341,13,130029425
1301,131,2128341,13,130029900
1304,131,2128341,13,130030179
1305,131,2128341,13,130031464
1305,131,2128341,13,130031761
1305,131,2128341,13,130032387
1302,131,2128341,13,130032484
1305,131,2128341,13,130032990
1302,131,2128341,13,130033276
1302,131,2128341,13,130034590
1306,131,2128341,13,130035019
1304,131,2128341,13,130035110
1301,131,2128341,13,130035545
1305,131,2128341,13,130035831
1302,131,2128341,13,130036027
1305,131,2128341,13,130036309
1311,131,2128341,13,130036681
1305,131,2128341,13,130036790
1301,131,2128341,13,130039790
1304,131,2128341,13,130040039
1302,131,2128341,13,130040331
1302,131,2128341,13,130040414
1305,131,2128341,13,130040845
1302,131,2128341,13,130042240
1305,131,2128341,13,130042765
1301,131,2128341,13,130044223
1306,131,2128341,13,130044390
1302,131,2128341,13,130045385
1311,131,2128341,13,130045469
1302,131,2128341,13,130045791
1305,131,2128341,13,130046898
1302,131,2128341,13,130048395
1304,131,2128341,13,130048400
1302,131,2128341,13,130048772
1305,131,2128341,13,130049515
1302,131,2128341,13,130049996
1302,131,2128341,13,130050402
1302,131,2128341,13,130050512
1304,131,2128341,13,130051289
1302,131,2128341,13,130052433
1301,131,2128341,13,130052586
1305,131,2128341,13,130053101
1305,131,2128341,13,130054163
1302,131,2128341,13,130054568
1305,131,2128341,13,130054700
1304,131,2128341,13,130055512
1305,131,2128341,13,130056221
1305,131,2128341,13,130056503
1305,131,2128341,13,130058171
1305,131,2128341,13,130058278
1301,131,2128341,13,130071427
1306,131,2128341,13,130071832
