"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"32","25-34_Interior Urbano","transporte_ind",11.0041104476228,8.8528863079213,13.6780754357065,4.56756584637177e-98
"33","25-34_RM da Capital","transporte_ind",4.53445954644743,3.58895965888255,5.72904834064648,4.18940398128491e-36
"34","35-49_Capital","transporte_ind",4.33239117544304,3.54369711460848,5.29661895190794,2.77751988005929e-45
"35","35-49_Interior Urbano","transporte_ind",13.1028910637543,10.792333511565,15.9081216351064,7.9210592355177e-138
"36","35-49_RM da Capital","transporte_ind",5.56362028688151,4.43344832285918,6.98189500416618,2.20201520857175e-48
"37","50-64_Capital","transporte_ind",3.84116807998179,3.15843069877348,4.67148835160469,1.57696366760891e-40
"38","50-64_Interior Urbano","transporte_ind",8.4107650118397,6.88817501519362,10.2699144444428,3.63620004102826e-92
"39","50-64_RM da Capital","transporte_ind",4.18189644761907,3.36735642619629,5.19346801620387,1.40811408762003e-37
"40","65+_Capital","transporte_ind",4.72036566277785,3.63868100386616,6.12360686926316,4.70986893349242e-31
"41","65+_Interior Urbano","transporte_ind",7.71071306102813,6.16230949972065,9.6481839985812,1.02444623253598e-68
"42","65+_RM da Capital","transporte_ind",5.15809813584754,3.73011055733463,7.13275812340676,6.22007441242888e-23
"43","15-24_Interior Urbano","taxi",2.88044318614786,1.95289900932472,4.24853149548915,1.00527821094516e-07
"44","15-24_RM da Capital","taxi",0.918813614876883,0.554728849619233,1.52185785805551,0.742263610872072
"45","25-34_Capital","taxi",1.57492636165358,1.02103740333611,2.42928715101621,0.040028882090635
"46","25-34_Interior Urbano","taxi",2.131576648376,1.43592119257164,3.16425374275906,0.000175811163832897
"47","25-34_RM da Capital","taxi",1.22833309247729,0.760550279180097,1.98382963937818,0.400478257392389
"48","35-49_Capital","taxi",1.34113945396465,0.881595722966616,2.04022658926704,0.170379594930359
"49","35-49_Interior Urbano","taxi",2.15634851020578,1.48445730421431,3.13234936718356,5.59131814465788e-05
"50","35-49_RM da Capital","taxi",1.34976720113631,0.858992400056044,2.12094018194397,0.193409701099411
"51","50-64_Capital","taxi",1.699028123229,1.11918808555645,2.57927742510573,0.0128633001940126
"52","50-64_Interior Urbano","taxi",2.4837894367443,1.69406443991508,3.64166192307998,3.26545282613468e-06
"53","50-64_RM da Capital","taxi",1.63413558375322,1.01759855909525,2.62421667387456,0.042203991714875
"54","65+_Capital","taxi",6.16855531555448,4.10292115729922,9.27414230550384,3.21125407725605e-18
"55","65+_Interior Urbano","taxi",5.93468719501007,3.99694480362218,8.81185851520849,1.53553358417823e-18
"56","65+_RM da Capital","taxi",5.2450079670646,3.01215648981904,9.13302767221892,5.10140352933726e-09
