"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"23","Manaus","transporte_pub",2.10608406863135,1.7724854634596,2.50246910092297,0.0000000000000000352990371597058
"24","Porto Alegre","transporte_pub",2.01755415244529,1.66011668517484,2.45195099501126,0.00000000000202607295051885
"25","Recife","transporte_pub",3.45230332179003,3.04451986596287,3.91470535597018,0.000000000000000000000000000000000000000000000000000000000000000000000000000000133533034214671
"26","Rio de Janeiro","transporte_pub",4.96445813212809,4.38366361271168,5.62220250527096,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128209401260189
"27","Salvador","transporte_pub",2.88253245445271,2.44389459045858,3.39989841763758,0.0000000000000000000000000000000000143382250244448
"28","São Paulo","transporte_pub",2.5923631194497,2.23083907207813,3.01247482491988,0.0000000000000000000000000000000000770753949870499
"29","Belém","transporte_ind",0.500499008993256,0.361912054487944,0.692155055066219,0.0000292075160554699
"30","Belo Horizonte","transporte_ind",0.398161205605213,0.338296351096326,0.46861973277346,0.000000000000000000000000000409297401335245
"31","Brasília","transporte_ind",0.704815344819117,0.613424217281837,0.809822397449061,0.000000825892409156945
"32","Campo Grande","transporte_ind",1.37638906435465,0.997180667699738,1.89980303252881,0.0521107258752769
"33","Cuiabá","transporte_ind",0.952359524165767,0.683165586961854,1.32762639187194,0.773370968216969
"34","Curitiba","transporte_ind",1.02185715984979,0.822987974116074,1.26878166872096,0.844777565925791
"35","Fortaleza","transporte_ind",0.424533976567486,0.361095155919358,0.499118014478302,0.000000000000000000000000661379433707969
"36","Goiânia","transporte_ind",1.18753370856599,0.928509360487832,1.51881754669609,0.171039186177275
"37","Manaus","transporte_ind",0.356552597618733,0.299975749782803,0.423800107044366,0.000000000000000000000000000000412049290616798
"38","Porto Alegre","transporte_ind",0.425570307568895,0.346095688686575,0.523294836094587,0.00000000000000072033587004894
"39","Recife","transporte_ind",0.24652443557715,0.211647500707162,0.287148665273967,0.00000000000000000000000000000000000000000000000000000000000000000000112874246236031
"40","Rio de Janeiro","transporte_ind",0.186091786724071,0.16173683235259,0.214114203811427,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168919029031795
"41","Salvador","transporte_ind",0.289970782055403,0.243567175011028,0.345215049778423,0.000000000000000000000000000000000000000000511262095769739
"42","São Paulo","transporte_ind",0.452957526874138,0.384120587434799,0.534130499284321,0.000000000000000000007642975244074
"43","Belém","taxi",2.27533508825106,1.55482046001106,3.32974121255752,0.0000236972973978853
"44","Belo Horizonte","taxi",0.223715950767199,0.120752928162657,0.414472985369388,0.00000200967815208073
"45","Brasília","taxi",0.102486981205473,0.0465638878924738,0.2255735461967,0.0000000162394539050185
"46","Campo Grande","taxi",0.25064760396483,0.12452447445046,0.504513041717786,0.000107517029069491
"47","Cuiabá","taxi",0.206760438817686,0.0635380655712054,0.672823112818466,0.00887234314105582
"48","Curitiba","taxi",0.100939480065694,0.0401737702900297,0.253617685429472,0.00000110995898042861
"49","Fortaleza","taxi",0.574161052020637,0.416919810057634,0.790705804101447,0.000684912118422544
"50","Goiânia","taxi",0.299234631343336,0.123858601692181,0.722932144977013,0.00737335449054231
"51","Manaus","taxi",1.82022277451848,1.45133876300721,2.28286533325321,0.000000228362174247826
"52","Porto Alegre","taxi",0.584452638633163,0.386399918564135,0.884019044503424,0.0110006044415761
"53","Recife","taxi",0.817925833095848,0.624663583519979,1.07098074242732,0.143996066094537
"54","Rio de Janeiro","taxi",0.917132664399963,0.68720657189028,1.22398760214952,0.556946420997752
"55","Salvador","taxi",0.979952175694632,0.692627870357388,1.38646783900442,0.908939715597408
"56","São Paulo","taxi",0.426504920427294,0.3047334402468,0.596936283072078,0.000000704881731478822
